userName,score,at,content
mila ryz,1,2024-09-06 09:54:50,"Sekarang tidak bisa lagi pilih ekspedisi.. langsung otomatis dari sistem. sangat menyebalkan.. di tempatku, sicepat, jne, ninja itu kecepatan pengirimannya sangat buruk. Setelah bisa pilih ekspedisi mungkin nanti akan aku ubah ulasannya."
Silmaa Aliyaah,1,2024-09-06 02:43:30,"Aplikasi skrng banyak maunya. Biaya layanan banyak, tpi kualitaa pengirimannya semakin jelek. Kurir""nya jga nggak profesional, apalagi yg pake jasa spx itu. Barang lama dikirim, nggak sesuai timeline, nggak sabaran jga kurirnya, plus nggak profesional bgt. Kecewa bgt."
Wahyu Saputra,1,2024-09-04 02:51:36,"Sekarang lemot banget, respon lama, tombol back lola, jadi males buka nya... Update coment baru nih, makin buruk, baru buka aplikasi masih ok, halaman kebuka lancar, setelah masuk ke toko atau ke etalase halaman putih semua ga da gambar padahal speed internet kenceng ram lega memori lega... Kenapa???????????????? Bener2 buruk.........tambahan lagi nih,update sekarang buat scrol susah,harus di tengah2 baru bisa scoll....hadeh...hadeh...tambah buruk"
Bang Rewako,1,2024-09-03 21:36:55,aplikasi sekarang sudah bagus gak lambat loading seperti dulu lagi.. tapi sayang semenjak pengiriman di ambil alih oleh SPX barang yang tiba yang jadi lambat sampainya walau pun itu SPX REGULER bahkan di luar nalar.. makanya sekarang jadi malas beli barang di shopee.. KATANYA EXPRESS TAPI KOK LAMA..? KOCAK.. tolong perbaiki sistemnya terutama pengiriman yang masih 👎🏼👎🏼👎🏼
Sandips,1,2024-09-03 07:46:59,"Jasa kirim dipilih sama sistem itu ga efektif. Sistem lebih sering otomatis memilih SPX dibanding jasa kirim yang lain. Tapi nyatanya SPX ini emang ga bagus pengirimannya. Lemot. Salah sortir mulu, muter-muter susah banget sesuai sama tanggal estimasi. Kalo emang mau semua orang pake jada kirim dari pihak kalian (SPX) ya lebih baik benahi dulu cara kerja pengiriman kalian. Jangan masih belum teratur tapi 'maksa' secara halus gini."
Naura Kurniawan,2,2024-09-02 23:25:21,"Sangat menyebalkan ya kok beda estimasi kirim yang ditampilkan pada saat sebelum cekout 3-5,5-7 hari walau dengan pilihan subsidi ongkir. Tapi pas saat pengiriman menjadi 2 Minggu!!!!! Dikirim ia jalur darat/laut. Ini kenapa tidak diinput dari awal estimasi pengiriman disampaikan dgn jujur, kan kita bisa rubah pilihan kurir atau jasa ongkir!!!!!, Apalagi kalau sudah ""dipaksakan"" menggunakan kurir spx atau shopee express, alamat laaaaamaaaaa pastinya!!!"
Juni Harto,1,2024-09-02 11:31:59,"Lebih suka shoppe yg sebelum di update, pemilihan jasa kirim'nya mudah dan tetap bisa pakai gratis ongkir dibandingkan yg sekarang harus ikutin rekomendasi dari shoppe langsung, sedangkan kalo kita ubah terkadang malah kena biaya lgi bahkan gratis ongkir'nya malah tidak bisa digunakan, sedangkan untuk lokasi saya paling cepat pengiriman expedisi shoppe, semenjak di ubah gini malah jadi gak jelas jasa ekspedisi yg didapat dari pesanan saya,malah jadi lama pengiriman'nya. Tolong kembalikan lagi"
Agung Nugraha Pratama,1,2024-09-01 06:47:27,"Kecewa sekali dengan kemunduran shopee di bagian ekspedisinya. waktu itu ekspedisi bisa pilih sendiri mau pakai yg mana, sekarang semua pesanan dipaksa cuman bisa pakai spx yg dimana saya tahu kalo setiap pakai spx selalu mengecewakan, saya selalu menghindari menggunakan spx jika bisa memilih, namun kebijakan baru memaksa semua untuk pakai SPX, dan ini menjadi sebuah kemunduran menurut saya karena benar saja pengiriman menjadi lebih lambat dari biasanya, sebuah kebijakan yang membuat saya kecewa"
Siti Ayu Lestari,4,2024-08-31 21:50:36,"Tolong yaa pihak shopee, untuk jasa kirimnya jgn di atur otomatis sama sistem. Kalau bisa pembeli lah yang atur/memilih ekspedisi sendiri seperti yg lalu², jgn bisa pilih sendiri tp malah tidak ada potongan ongkir. Sy kurang setuju dgn kurir SPX yg selalu direkomendasikan, sebab kurir ekspedisi minta tambahan biaya diluar harga paket & Ongkir yg sdh tertera untuk pengantaran ke Alamat. Jadi saya merasa keberatan...karena tiap kali pengantaran paket ada tambahan biayanya terus."
Suci Rhamadany,1,2024-08-27 10:16:22,"parah banget sekarang shopee, ekspedisi harus dia yg tentuin, pakai SPX pula yg udah jelas"" selalu bermasalah di kurir nya dan selalu dapat rating jelek, mau ganti ekspedisi harus bayar tidak ada lagi gratis, fix gak bakal belanja disini lagi, sudah mudah di buat ribet dan makin kesini juga semakin cari untung terus, sekarang malah soal ekspedisi yg di otak atik, plisss lah kalau mau tetap di percaya sama customer tolong jgn banyak perubahan"" yg sangat merugikan customer."
Liok Lea Boham,2,2024-08-26 11:41:48,"dari dulu suka banget pake shopee, tapi skrg jadi males walaupun promo ongkir banyak, karena otomatis expedisinya pake SPX, sdgkn di daerah ku SPX payah banget, paket"" banyak yg ditimbun di gudang gak pernah di antar tau tau di retur, malah jadi bikin susah kita,apalgi kalo udah bayar jadi ribet banget"
Abram Erlanda,1,2024-08-26 02:29:46,"Sekarang pengiriman menjadi sangat lambat karena saat check out ekspedisi otomatis ditentukan oleh shopee jadi kalau seandainya dapat ekspedisi yang tidak jelas seperti: si cepat, id ekspres, & anteraja pengiriman jadi sangat lambat. Kalau dulu saat check out ekspedisi ditentukan oleh pembeli jadi bisa memilih ekspedisi yang jelas seperti : pos, jne, j&t, dan spx."
Maldion Ayang,1,2024-08-25 23:17:27,"Kecewa dengan shopee, sekarang expedisi nya ditentukan ke SPX, expedisi yg lain tidak bisa pakai voucher gratis ongkir, ini bukan kebijakan untuk pelanggan tapi kebijakan untuk pihak shopee. Tolong kembalikan seperti dulu yg expedisi nya semua bisa pakai gratis ongkir, Expedisi SPX sangat lama pengiriman nya, tolong kembalikan seperti dulu."
Acil Tv,2,2024-08-25 09:51:53,"6.6 kalu saya beri 2 bintang. Sekarang 13.8 masih saya beri 2 bintang. Kenapa? Karena shopee se enaknya menggunakan pilihan expedisi SPX tanpa bisa di ubah lg. Klu pun di ubah voucher gratis ongkir jd tdk bisa di gunakan & harus berbayar jika menggunaakan expedisi lain.. Sedangkan SPX di tempat saya pelayanannya sangat buruk. Tidak ada konfirmasi barang dr kurir,kadang keterangan paket penerima tidak ada (padahal di rumah) & hal buruk lainnya. Mohon di kembalikan seperti semula 🙏🙏"
Mira Lestari,2,2024-08-24 21:30:52,"Parah banget sih skrg, shopee udah ga kayak dulu bisa pilih ekspedisi sendiri. Ngaco skrg SPX mulu, nyampainya lama bgt. Yang biasanya pakai jnt 5-7 hari, skrg SPX mau 20 hari baru sampai. Bisa ga sih masalah opsi pengiriman (ekspedisi) di ubah kayak dulu lagi, pembeli bisa nentuin sendiri mau pakai ekspedisi apa."
Starplus Farma,1,2024-08-24 08:00:19,"Kenapa ketika mau order pilih ekspedisi tidak bisa, padahal penjual sudah aktifin jasa pengiriman J&T, tapi kenapa yang muncul cuma SPX aja, tolong dong dibikin fleksibel kaya dulu lagi kak. Padahal sudah nyaman pakai shopee tapi kenapa sekarang malah ribet. Terimakasih"
Yopi Fauzi,1,2024-08-23 11:59:24,"Kecewa dengan shoppe sekarang expedisi nya di tentukan ke spx,expedisi yg lain tidak bisa pakai voucher gratis ongkir nya,,ini bukan kebijakan untuk pelanggan,tapi kebijakan untuk pihak shoppe Tolong di kembalikan seperti dulu yg expedisi nya semua bisa gratis ongkir Expedisi spx lama pengiriman nya"
Destiny The Lovers,3,2024-08-22 21:18:09,"Shopee kurang memuaskan sekarang, tolong dong untuk pengiriman bisa milih expedisi sebelum co.. Dan juga lebih bagus Shopee dulu, saat ada kesalahan dalam co kita bisa cancel tanpa perlu persetujuan penjual.. Sekarang meski nunggu persetujuan penjual, kesannya kaya maksa pembeli harus beli yg sudah di co.. Apalagi kalau dapat expedisi yg lama, rasanya gak ikhlas sudah co.. duhh lama2 kek gini bisa berpindah aplikasi lain.. Saran saya lebih baik Shopee pengaturan nya seperti yg lama."
zakiy janju,1,2024-08-22 05:30:20,"Upgrade aneh Vocer ny cuman buat expedisi terpilih shopee aja. Masa gak bisa di pilih. Banyak gak cuma saya yg punya kendala dan masalah dalam pengiriman di expedisi tersebut, sampai paket di retur otomatis karena kesalahan expedisi yang terlambat. Bisa pilih expedisi cuman kemahalan ongkir ny karena vocer tidak di dukung untuk expedisi tersebut 😡 Balikin kaya dulu lah min"
syar mila,1,2024-08-21 15:28:34,saya gak suka sama kebijakan shopee sekarang semua pengiriman dimasukan ke spx kalau mau mengubah dikenakan biaya yg begitu mahal asli kecewa sama update terbaru nya sekarang hampir 3th setia belanja dishope nyaman nyaman aja sekarang gak nyaman sama expedisi yg di rekomen mana kemaren paket saya hilang pake spx sudah lah hilang lama banget barang datangnya!!!! lebih suka pake J&T sudah terpecaya menurut saya pribadi yg suka mengunakan jasa J&T ketimbang lainnya.
Ibn ThaHha,1,2024-08-21 03:58:27,Saya selali mendapatkan Kurir yang tidak ranah lingkungan. Mungkin perlu di briefing lagi cara untuk menjadi Kurir dengan layanan yang Baik. Saya merasa menjadi Kurir tidak ada S.O.P nya. Hanya Butuh bisa Naik kendaraan Dan mengantar barang sudah cukup. Padahal tidak...
Atika Maiya,3,2024-08-21 01:28:13,"Pelayanan penjualnya rerata ramah dan baik, tapi, yang BURUK ekspedisi pengirimannya. Benar bisa diubah sebelum check out barang, itupun kalau kita sebagai pembeli paham/ingat mengubah pengirimannya, di samping itu ongkirnya bisa jadi lebih MAHAL daripada barang yang mau dibeli. Min, jujur saya jauh lebih SUKA aplikasi yang versi lama, yang semahal-mahalnya ongkir masih di batas WAJAR. Kalau yang sekarang apalagi berdasarkan rek apk HARUS banget ya? pakai ekspedisi yang KUALITASnya kureng gitu?"
Noe Az Tristianto,1,2024-08-20 00:38:22,"Kecewaaa.. kasih bintang 1. Setelah update malah Gak bisa ubah di pilihan expedisi, jadi suka-suka pihak aplikasi mau dikirim apa tanpa tahu apakah expedisi tersebut sering bermasalah atau tidak. Jika bisa diubah itupun tidak berlaku voucher ongkir nya. Intinya suka-suka pihak aplikasi pilih rekomendasi expedisi apa. Kasian yang beli makin repot seperti aku nih.."
Santi AD,2,2024-08-19 23:06:20,Tolong shopee kembalikan pilihan ubah ekspedisi setelah pembayaran. Karena untuk pengiriman SPX di Daerah saya super lama sekali. Bisa sampai 3 minggu. Bahkan paket saya pernah hilang beberapa kali karna ekspedisi SPX ini. Semoga bisa kembali ke Fitur lama. Saya sangat merasa dirugikan dgn ekspedisi SPX
ZVAR,2,2024-08-18 04:53:36,"Update terbaru ga bisa rubah ekspedisi lagi setelah checkout, bisa rubah hanya pas checkout dan itupun tidak free ongkir. Yg free ongkir hanya rekomen dsri shopee. Tolong ubah fitur itu ke versi sebelumnya karna saya pribadi kurang suka dengan ekspedisi spx standard."
Lala Meywang,1,2024-08-14 10:34:07,"Setelah saya upgrade applikasinya, kini Terlalu sering minta verifikasi Mau like produk, masukin ke troli, sampai mau CO pun harus diverifikasi. Tolong dihilangkan, sangat mempersulit. Dah gitu terlalu sering halaman gagal dan loading lama banget. Awalnya saya kira HP saya yg error. Ternyata punya teman juga sama. Applikasinya makin jelek Tolong diperbaiki."
reren reren,1,2024-08-13 18:54:51,"Shopee kenapa sih maksa banget kalo ngasih ekspedisi/jasa pengiriman. Saya gak mau pake SPX tapi dikasih nya yg SPX, gak bisa milih sudah disetting sama shopee nya begitu. Saya gak mau pakai SPX karna lama datang nya bisa 2minggu baru diantar tuh barang, padahal pakai ongkir reguler bukan ongkir hemat. mau ambil sendiri tapi gak bisa gak tau letak kantornya dimana kayak tersembunyi. makanya kalo barang udah nyampe cepat diantar malah dibiarkan lama2 di gudang nya bikin customer/pelanggan jengkel"
yatnooe tuminah,3,2024-08-12 14:20:20,"Sebenernya belanja terus disini. tapi akhir2 ini mau check out harus masuk verikasi keamanan,mending kalo langsung bisa . Bolak balik kagak bisa cuma tulisan ""terjadi kesalahan sistem ..silahkan mencoba lagi"""" chat CHIKO CS jg gitu..""maaf terjadi kesalahan sistem. Update selalu ikut update tp malah tambah susah bukan tambah gampang . Banyak fitur tp malah kagak berfaedah kalo sistem bermasalah terus munculnya"
Rudianto Sembiring,1,2024-08-12 13:52:33,"😠Ganti bintang. Sejak 2017 hingga 2023 bintang 5... Jawabannya, mohon maaf atas ketidaknyamanannya, tidak nyaman itu biasa, tapi kalau dirugikan itu luar biasa !!!! Sistem bisa diubah oleh permasalahan. Bukan sebaliknya permasalahan harus diselesaikan oleh sistem . Logika tidak, jika kesalahan murni dilakukan oleh penjual, tapi yang terbeban pembeli. Sistemnya juga udah ngaco di shopee ini. Pilihan pengembalian barang muncul Indomaret, JNE, Jnt dll. Tapi ketika di klik langsung muncul resi J&T."
