userName,score,at,content
Arya Wicaksana,5,2024-10-31 14:13:17,"belanja di shopee memang paling mudah diantara yg lain, cuma sayang, masih banyak pelapak yg menjual barang, tidak sesuai dengan yg difoto, dan kwalitas barang kadang jauh dari yg di iklankan, mohon shopee agar lebih selektif memilih pelapak."
Ynot Bussines,1,2024-10-31 13:27:28,"Hati2 buat penjual baru ataupun lama, pastikan kalian cek berapa besaran potongan admin dari tiap2 promo, apalagi promo berbayar, sama sekali tidak menguntungkan, buat kalian yg bermodal tipis, untung 500-2000 perak.. dan lagi harga ketentuan campaign juga sangat terlalu murah, setelah di potong admin, dll, alhasil barang kita laris tp merugi, jauh di bawah harga kita beli di distributor.. silahkan dikaji ulang sebelum anda memastikan buka olshop di aplikasi manapun.."
Darmani Dongkol,1,2024-10-31 13:19:43,"Setelah saya menggunakan aplikasi terbaru shope, saya bahkan tidak bisa mengirimkan pesan dengan nyaman. selalu gagal dan mengharuskan hapus cache, tetapi nyatanya pesan selalu berwarna merah! setiap kali penjual meminta mengirimkan video, selalu gagal dan bahkan pesan biasa yang dikirimkan setelah video itu pun tak kunjung terkirim. SUNGGUH MEMBUAT SAYA MERASA FRUSTASI!"
Novi Ananda,5,2024-10-31 12:49:25,Sangat bagus Dan harga nya murah murah Dan ada yang gratis ongkir di jamin ga nyesel lah kalau download shopee ayo cepet download shopee sekarang sebelum menyesal harga barang nya mulai Dari 1.000 aja loh foto sama hasil nya lo juga sesuai ekspektasi lo aku pernah beli barang ada empat murah murah semuanya lo Dan kurir nya ramah ramah banget aku beli sendal gunung lo murah banget cuman 33.000 gratis ongkir pula pokok nya harus download shopee biar gk menyesal dateng nya cepet banget da👋semuanya
Jhon Lenon,1,2024-10-31 12:34:47,"Shopee makin lama makin berat aplikasi nya, jaringan internet harus stabil.... kalau tidak stabil shopee lemot banget, padahal sinyal saya bagus... buka aplikasi lainnya bisa,lah ini buka shopee aja lemot nya bukan main... mau nge-refresh aja lama nya gak ngotak."
Silvi ana,5,2024-10-31 10:27:41,"Saya suka dengan aplikasi shope Bisa belanja dengan mudah, tanpa harus pergi keluar tinggal klik yang dibeli bisa belanja sesuai pilihan tanpa memilih terburu² Shope toko Oren sangat membantu pembelanjaan dengan mudah dengan menggunakan gratis ongkir..dan metode COD terimakasih"
Ali Wardhana,4,2024-10-31 10:16:50,"ada bug yang menurut saya ganggu banget, bug nya tu di peta nya pas saya lihat masih di perjalanan (tidak bergerak) pas besok nya lagi masih seperti itu saya tunggu beberapa hari udah bisa, itu kenapa ya? tolong di perbaiki min saya kasih 1 bintang lagi 😁🙏"
Nue bee,2,2024-10-31 08:59:58,Susah sekali mau Laporan video yang menipu ( barang yang divideokan beda dengan yang di link pembelian) juga video tidak berhubungan dengan belanja. Ini aplikasi belanja atau tiktok gosip. Ada juga beberapa konten tidak pantas
Khairul Amri,5,2024-10-31 04:58:11,"Untuk shopee saran saya jangan direcomendasi untuk exspedisi saat cod. Karna sebahagian exspedisi ada yang bergerak lambat dalam pengiriman paket. Biarkan konsumen menentukan pilihan masing""."
Yuwan Saputra,5,2024-10-31 02:44:15,"Bagus ni ada kemajuan,2x pesanan terakhir batas waktu pengemasan/pengiriman untuk penjual tidak terlalu lama kaya sebelumnya nyampe 5 hari. Gitu dong jadi pembeli tidak kecewa karena menunggu penjual mengemas pemesanan,harus tegas demi kenyamanan pembeli, kalau ga ada pembeli kan ga ada nih aplikasi"
Maryanti Hafrida,5,2024-10-30 23:05:02,Kalo lagi iseng2 paling suka scrol2 shopee murah2 harga nya lebih banyak sesuai ekspetasi walaupun kadang gambar sama real nya agak meleset tapi itu kesalahan toko bukan kesalahan aplikasi shopee nya. Para penjual nya aja peak hihi
Ex7offcial Ruthless,1,2024-10-30 22:56:16,"Makin kesini makin kesana nih aplikasi orange belanja online nih. Berat banget oi... Aplikasi nya. 1. Pas awal buka tumben tumbenan iPhone 12 pro max ku, untuk buka apk ini 10detik, biasanya paling lambat tuh 3 detik, 2. Buat search di pencarian, sering kali keluar sendiri dari aplikasi, itu kenapa oi admin..., 3. Mau liat barang dari foto gambar, malah nampil foto barangnya lama banget keluar gambarnya, kek nunggu janji cewek dandan bilang 5 menit tau bisa satu jam. Duh duh... Astaghfirullah.🤦"
Nurul Aini,1,2024-10-30 22:27:37,fitur Shopee garansi nya udah tidak tersedia kembali jadi kita bisa menghitung kapan ingin berbelanja harusnya ini tidak ada merugikan siapapun tapi jelasnya pihaknya semakin aneh!!!!!!!!
Oding Sevenfold,5,2024-10-30 21:35:37,"Secara keseluruhan bagus cuma kendalanya di pengiriman,tolong untuk kurir ""ANTERAJA"" hapus aja karena banyak banget yg kecewa pakai jasa itu,pengiriman lama, status pengiriman juga kadang suka ngaco"
Ellen M Leatemia,5,2024-10-30 20:48:00,"Pokoknya belanja di Shoppe TDK pernah mengecewakan, yaa wlpn terkadang ada juga yg TDK sesuai. Tp itulah belanja online. Tp utk sejauh ini, masih sangat membantu utk usaha saya. Terimakasih banyak Shopee utk bantuannya."
Noer Elma auliyanah,4,2024-10-30 13:46:19,"Skrg banyak banget biaya2. Klaim nya gratis ongkir, tapi ada biaya penangan segala sampe 4rb. Ditambah biaya lain2 nya. Sama aaja gk gratis ongkir. Balikin lagi metode awal shopee, padahal jdi pengguna setia shopee tuh krna bnyk gratis ongkirnya. Tapi skrg ada embel2 biaya2 segala macam. Jadi males, mengecewakan"
Ahmad Utani,4,2024-10-30 13:10:09,"Shopie nya udah bagus,tpi sayang kenapa kurir spx nya ga mau ganter sampai alamat,pdhl udah masuk jona lokasi,tolong lah pihak Shopie. Di aplikasi anter smpe alamat,tpi cod trus iah klo deket, ini 4 kiloan"
auah gelap,4,2024-10-30 05:21:26,"Tampilan skrng udh lumayan rapi, walau masih blm serapi layout toko sebelah tp okeyyy lah, trs juga udah lumayan lancar(gk terlalu berat bnget kek dulu), bug jg udh mulai berkurang, saran saya sih tolong gambar review dari pembeli di HD.in terus bisa di zoom biar makin apik🔥 krna kita sebagai calon pembeli lebih percaya gambar foto dri kolom review dari pada gambar yang tertera di penjual."
Me,3,2024-10-30 00:58:14,"Tolong untuk konfirmasi pesanan selesainya diubah lagi seperti sebelumnya 2 langkah yang muncul pop up konfirmasi. Karena yang sekarang saat saya scroll ga sengaja ke pencet pesanan selesai, langsung selesai begitu aja tanpa ada konfirmasi lagi, padahal masih dalam pengiriman."
FRAGIL IBNU SIDIQ,1,2024-10-29 17:54:46,"aplikasinya lambat dan sulit digunakan dibandingkan yang lain, dan voucher diskonnya juga gak ada gunanya. Pengiriman gratis cuma ada saat acara besar, jadi hampir nggak berharga. Aplikasi ini benar-benar membuang waktu dan bikin frustrasi."
Claudy Room,2,2024-10-29 11:59:48,"parah banget aplikasi shopee seringkali kebuka sendiri tanpa diklik, lagi asik2 youtube an tiba2 yutube nge freeze gara2 aplikasi shopee tiba2 buka dengan sendirinya, sangat mengganggu kenyamanan...terlalu agresif shopee skrg, notif2 clickbait sering bermunculan kayak ""selamat .......dana sebesar 100k akan ditransfer"""
Matin Santoso,3,2024-10-29 08:30:00,"Terdapat Bug pada versi terbaru di bagian microphone external saat melalukan livestreaming, suara tidak keluar dengan baik serta adanya delay dengan jeda cukup lama pada video livestreaming dan perangkat moderator. Device Google Pixel 3 dengan Android 12"
Friz Trooperz,1,2024-10-27 18:02:43,"Gratis ongkir hanya berlaku untuk kurir rekomendasi, yg mana seringkali berujung terpilihnya SPX. ❎ Jelas, buyer masih bisa memilih ekspedisi yg diinginkan. Tapi kalau gratis ongkir cuma berlaku pada kurir rekomendasi, yg mana —bisa saja— berakhir pada ekspedisi yg reputasi dan pelayanannya tidak begitu baik di kota buyer, buyer terpaksa mempertaruhkan nasib paketnya."
jenzen (Kompas Jateng),1,2024-10-27 14:03:08,Parah bener aplikasi shoope versi terbaru. Menggunakan HP lama Samsung A02 membuka aplikasinya dan live streaming sangat sangat berat padahal koneksi saya sudah speed koneksi lebih dari 10Mbps masih saja berat banget bukanya.. 🤦‍♀️ Jadi stress sendiri mau buka aplikasi shoope sekarang.
Syafira BajuMuslim,5,2024-10-27 06:09:57,"Terima kasih Shopee sudah mempermudah dalam berbelanja, tidak harus pergi2, barang diantar sampai rumah, mudah cari barang yg dibutuhkan, Banyak diskon... dan gratis ongkir... Tolong waktunya diperpanjang.. dipermudah cara untuk pengembalian dana /barang yg tidak cocok / tdk sesuai.. Pernah pengembalian dana dibatalkan karna kehabisan waktu.. tapi barangnya tidak kembali entah dimana.. karena blm tau caranya... Terima kasih"
09_Darmawati Santoso,1,2024-10-26 11:31:24,"kenapa sih sekarang shopee sering banget bermasalah karna apk yg gak mau kebuka, udah coba bersihin sampah chaca, di perbarui bahkan dh di hapus terus instal lagi tetep aja gak mau kebuka, padahal lagi butuh butuh nya malah kayak gini. tolong ya udh sebulan lebih shopee saya bermasalah kayak gini, semoga segera diperbaiki. makasih"
Gudang Rokok Cengkeh,5,2024-10-26 02:19:09,"Kalau bikin aplikasi apapun aplikasinya yang bisa di pakai di hp ram besar sama ram kecil,parah aplikasi shopee berat,ngelag,lemot,lelet.masa mau buka aplikasi ngelag gambar foto barang gak kebuka aplikasi shopee parah lelet,lemot,ngelag,kalau bisa kalau bikin barang apapun barangnya yang asli original,gambar sesuai,estimasi sesuai,yang cepat sampainya,gratis ongkir 10x,bisa bayar melalui kurir,masa mau belanja harus melalui alfa mart,dana,indomart,bca,payah,ukuran mb gak kira-kira 96mb.huuufz."
Nona Tresya,1,2024-10-26 01:03:31,"Jasa kirim di setiap toko didominasi oleh SPX reguler maupun hemat. Sementata SPX pengirimannya sangat lambat, di jasa kirim lain biasanya hanya 3 hari, barang sudah tiba ditempatku tapi jasa kirim SPX 1 minggu lebih baru tiba, walaupun ada voucher keterlambatan barang. Kurirnya juga biasa menunda2 untuk antar barang ke rumah customer. Tolong diperbaiki. Kalo tidak mampu punya jasa kirim sendiri lebih baik tetap bermitra sama jasa kirim yang berpengalaman biar ratingnya tidak turun."
